Package	Download_score
CCPROMISE	157
ccrepe	206
CDI	117
celaref	153
celda	809
CellaRepertorium	45
CellBarcode	151
cellbaseR	144
CellBench	201
cellGrowth	41
cellHTS	66
cellHTS2	147
CelliD	268
cellity	164
CellMapper	138
cellmigRation	131
CellMixS	172
CellNOptR	230
cellscape	127
CellScore	140
CellTrails	168
cellTree	49
cellxgenedp	147
CEMiTool	234
censcyt	117
Cepo	177
ceRNAnetsim	126
CeTF	164
CexoR	191
CFAssay	140
cfdnakit	126
cfDNAPro	151
cfTools	120
CGEN	172
CGHbase	397
CGHcall	370
cghMCR	233
CGHnormaliter	191
CGHregions	170
ChAMP	775
CHARGE	17
charm	57
ChemmineOB	365
ChemmineR	840
CHETAH	196
chevreulPlot	57
chevreulProcess	60
chevreulShiny	46
ChIC	36
Chicago	184
chihaya	205
chimera	62
chimeraviz	191
ChIPanalyser	171
ChIPComp	149
chipenrich	203
ChIPexoQual	161
ChIPpeakAnno	944
ChIPQC	390
ChIPseeker	2112
chipseq	593
ChIPseqR	216
ChIPSeqSpike	29
ChIPsim	178
ChIPXpress	147
chopsticks	198
chroGPS	65
chromDraw	173
ChromHeatMap	191
ChromoViz	7
chromPlot	245
ChromSCape	133
chromstaR	109
chromswitch	54
chromVAR	1193
CHRONOS	156
cicero	317
CIMICE	133
CINdex	168
circRNAprofiler	171
CircSeqAlignTk	115
cisPath	137
CiteFuse	165
ClassifyR	365
cleanUpdTSeq	194
CleanUpRNAseq	100
cleaver	287
clevRvis	128
clippda	188
clipper	183
cliProfiler	126
cliqueMS	161
Clomial	163
Clonality	72
clonotypeR	47
clst	193
clstutils	189
CluMSID	131
ClustAll	110
clustComp	154
clusterExperiment	345
ClusterFoldSimilarity	111
ClusterJudge	157
clusterProfiler	22330
clusterSeq	153
ClusterSignificance	162
clusterStab	184
clustifyr	239
ClustIRR	116
clustSIGNAL	57
CMA	259
cmapR	496
CNAnorm	178
CNEr	2909
cn.farms	178
cn.mops	261
CNORdt	159
CNORfeeder	178
CNORfuzzy	174
CNORode	167
CNPBayes	32
CNTools	237
CNVfilteR	120
CNVgears	37
cnvGSA	163
CNViz	107
CNVMetrics	142
CNVPanelizer	152
CNVRanger	177
CNVrd2	177
CNVtools	47
cobindR	60
CoCiteStats	170
COCOA	164
codelink	234
CODEX	214
coexnet	40
CoGAPS	348
cogena	199
cogeqc	152
Cogito	136
coGPS	189
COHCAP	56
cola	215
comapr	126
combi	139
coMET	101
coMethDMR	148
compartmap	58
COMPASS	204
compcodeR	198
compEpiTools	161
CompGO	37
ComplexHeatmap	17056
CompoundDb	307
ComPrAn	117
compSPOT	100
conclus	20
concordexR	132
condcomp	6
condiments	177
CONFESS	150
consensus	143
ConsensusClusterPlus	2868
consensusDE	147
consensusOV	162
consensusSeekeR	155
consICA	180
CONSTANd	139
contiBAIT	58
conumee	249
convert	205
copa	177
COPDSexualDimorphism	6
copynumber	137
CopyNumber450k	23
CopyNumberPlots	163
CopywriteR	54
Coralysis	33
coRdon	271
CoRegFlux	15
CoRegNet	80
CoreGx	285
Cormotif	167
CorMut	42
coRNAi	55
corral	170
CORREP	55
coseq	193
CoSIA	95
cosmiq	200
cosmo	21
cosmoGUI	17
cosmosR	171
COSNet	153
COTAN	169
CountClust	40
countsimQC	267
covEB	143
CoverageView	173
covRNA	133
CPSM	53
cpvSNP	182
cqn	339
CRImage	209
CRISPRball	101
crisprBase	191
crisprBowtie	156
crisprBwa	107
crisprDesign	172
crisprScore	186
CRISPRseek	222
crisprseekplus	37
crisprShiny	105
CrispRVariants	198
crisprVerse	133
crisprViz	144
crlmm	308
CrossICC	9
crossmeta	104
crumblr	53
crupR	50
CSAR	188
csaw	482
csdR	124
CSSP	45
CSSQ	122
ctc	295
CTdata	121
CTDquerier	151
CTexploreR	105
ctgGEM	21
cTRAP	170
ctsGE	154
CTSV	123
cummeRbund	321
CuratedAtlasQueryR	122
customCMPdb	121
customProDB	170
CVE	25
cyanoFilter	135
cycle	175
cydar	180
cypress	113
CytoDx	143
cytofast	18
cytofkit	43
CyTOFpower	58
cytofQC	121
CytoGLMM	131
cytoKernel	133
cytolib	2407
cytomapper	378
CytoMDS	106
cytoMEM	164
CytoML	469
CytoPipeline	132
CytoPipelineGUI	106
CytoTree	23
cytoviewer	153
dada2	2482
dagLogo	190
daMA	199
DAMEfinder	148
DaMiRseq	180
Damsel	110
dandelionR	70
DAPAR	213
dar	95
DART	198
DASC	3
DASiR	29
dasper	29
DAVIDQuery	33
DBChIP	67
dcanr	242
DCATS	127
dce	91
dcGSA	144
DChIPRep	42
ddCt	218
ddgraph	39
ddPCRclust	175
dearseq	232
debCAM	156
debrowser	212
DECIPHER	2819
deco	37
DEComplexDisease	49
decompTumor2Sig	172
DeconRNASeq	360
decontam	1598
decontX	370
DeconvoBuddies	51
deconvR	150
decoupleR	1446
DEDS	71
DeepBlueR	57
DeepPINCS	137
deepSNV	239
DeepTarget	100
DEFormats	267
DegCre	102
DegNorm	145
DEGraph	137
DEGreport	627
DEGseq	291
DelayedArray	43242
DelayedDataFrame	127
DelayedMatrixStats	16037
DelayedRandomArray	134
DelayedTensor	134
DELocal	120
deltaCaptureC	124
deltaGseg	167
DeMAND	136
DeMixT	166
demuxmix	261
demuxSNP	115
densvis	1006
DEP	696
DepecheR	170
DepInfeR	131
DeProViR	28
DEqMS	340
derfinder	522
derfinderHelper	507
derfinderPlot	186
DEScan2	154
DESeq	201
DESeq2	22585
DEsingle	318
DESpace	134
destiny	764
DEsubs	167
DEWSeq	148
DExMA	132
DEXSeq	1428
dexus	67
DFP	168
DFplyr	79
DIAlignR	59
DiffBind	1122
diffcoexp	175
diffcyt	419
DifferentialRegulation	139
diffGeneAnalysis	165
diffHic	205
DiffLogo	172
diffloop	53
diffuStats	167
diffUTR	120
diggit	146
Dino	139
dinoR	111
Director	92
dir.expiry	3480
DirichletMultinomial	4400
discordant	175
DiscoRhythm	165
distinct	269
dittoSeq	1313
divergence	143
dks	144
DMCFB	142
DMCHMM	141
dmGsea	10
DMRcaller	199
DMRcate	1068
DMRforPairs	80
DMRScan	138
dmrseq	244
DNABarcodeCompatibility	116
DNABarcodes	227
DNAcopy	4460
DNAcycP2	60
DNAfusion	140
DNaseR	8
DNAshapeR	188
DNEA	22
domainsignatures	41
DominoEffect	130
dominoSignal	93
doppelgangR	207
DOQTL	37
Doscheda	157
DOSE	21953
doseR	152
doubletrouble	148
dpeak	32
drawProteins	241
dreamlet	162
DRIMSeq	321
DriverNet	177
DropletUtils	2408
drugTargetInteractions	127
DrugVsDisease	171
dSimer	19
DSS	717
dStruct	114
DTA	176
dualKS	59
Dune	125
DupChecker	25
DuplexDiscovereR	84
dupRadar	208
dyebias	209
DynDoc	1442
easier	173
EasyCellType	149
easylift	115
EasyqpcR	64
easyreporting	143
easyRNASeq	225
EBarrays	233
EBcoexpress	188
EBImage	2845
EBSEA	142
EBSeq	432
EBSeqHMM	79
ecolitk	208
EDASeq	1571
edd	21
EDDA	52
edge	200
edgeR	24339
EDIRquery	121
eds	357
eegc	58
EGAD	170
EGSEA	269
eiR	154
eisa	79
eisaR	183
ELBOW	51
ELMER	284
ELViS	61
EMDomics	179
EmpiricalBrownsMethod	172
ENCODExplorer	50
EnhancedVolcano	6120
enhancerHomologSearch	129
EnMCB	135
ENmix	366
EnrichDO	96
EnrichedHeatmap	687
EnrichmentBrowser	528
enrichplot	21921
enrichTF	52
enrichViewNet	117
ensembldb	9430
ensemblVEP	91
ENVISIONQuery	47
epialleleR	147
EpiCompare	118
epidecodeR	137
EpiDISH	710
epigenomix	168
epigraHMM	135
epihet	27
EpiMix	134
epimutacions	135
epiNEM	170
EpipwR	92
epiregulon	104
epiregulon.extra	116
epistack	144
epistasisGA	125
EpiTxDb	152
epivizr	191
epivizrChart	155
epivizrData	141
epivizrServer	140
epivizrStandalone	150
erccdashboard	186
erma	178
ERSSA	153
esATAC	165
escape	429
escheR	154
esetVis	165
eudysbiome	177
evaluomeR	135
EventPointer	181
EWCE	280
ExCluster	130
ExiMiR	196
exomeCopy	165
exomePeak	56
exomePeak2	97
exonmap	15
ExperimentHub	7892
ExperimentHubData	293
ExperimentSubset	137
explorase	60
ExploreModelMatrix	275
ExpressionAtlas	230
ExpressionView	74
exprExternal	2
externalVector	17
extraChIPs	148
fabia	249
facopy	26
factDesign	174
factR	126
faers	141
FamAgg	176
famat	139
farms	74
fastLiquidAssociation	149
FastqCleaner	176
fastreeR	149
fastseg	805
fbat	13
FCBF	57
fCCAC	165
fCI	170
fcoex	38
fcScan	145
fdrame	164
FEAST	213
FeatSeekR	108
fedup	134
FELLA	224
FEM	50
fenr	118
ffpe	168
fgga	131
FGNet	193
fgsea	22949
FilterFFPE	140
findIPs	103
FindIT2	148
FindMyFriends	49
FISHalyseR	142
fishpond	315
FitHiC	175
flagme	152
FLAMES	151
flipflop	38
flowAI	560
flowBeads	167
flowBin	146
flowcatchR	190
flowCHIC	175
flowCL	47
flowClean	280
flowClust	738
flowCore	2455
flowCut	189
flowCyBar	138
flowDensity	332
flowFit	38
flowFlowJo	41
flowFP	230
flowGate	146
flowGraph	136
flowMap	71
flowMatch	181
flowMeans	218
flowMerge	188
flowPeaks	250
flowPhyto	29
flowPloidy	152
flowPlots	147
flowQ	57
flowQB	43
FlowRepositoryR	35
FlowSOM	1003
flowSpecs	158
flowSpy	14
flowStats	491
flowTime	171
flowTrans	181
flowType	62
flowUtils	72
flowViz	897
flowVS	208
flowWorkspace	1118
fmcsR	281
fmrs	164
fobitools	138
focalCall	32
FoldGO	44
FourCSeq	50
FRASER	207
frenchFISH	107
FRGEpistasis	137
frma	193
frmaTools	175
FScanR	17
FunChIP	66
FunciSNP	61
funOmics	103
funtooNorm	158
FuseSOM	134
G4SNVHunter	88
GA4GHclient	137
GA4GHshiny	131
gaga	182
gage	829
gaggle	78
gaia	55
GAPGOM	34
GAprediction	124
garfield	135
GARS	139
GateFinder	131
gatom	139
gaucho	26
GBScleanR	139
gcapc	170
gcatest	175
gCMAP	54
gCMAPWeb	51
GCPtools	8
gCrisprTools	183
gcrma	1080
GCSConnection	16
GCSFilesystem	11
GCSscore	43
GDCRNATools	266
gDNAx	113
gDR	99
gDRcore	111
gDRimport	114
gDRstyle	110
gDRutils	106
GDSArray	229
gdsfmt	2211
GeDi	100
geecc	50
GEM	134
gemini	128
gemma.R	155
genArise	167
genbankr	82
gene2pathway	21
GeneAccord	46
GeneAnswers	87
geneAttribution	169
GeneBreak	168
geneClassifiers	156
GENE.E	30
GeneExpressionSignature	206
genefilter	11400
genefu	356
GeneGA	135
GeneGeneInteR	130
GeneGroupAnalysis	15
GeneMeta	225
GeneNetworkBuilder	199
GeneOverlap	728
geneplast	179
geneplotter	4062
GeneR	19
geneRecommender	179
GeneRegionScan	212
GeneRfold	8
geneRxCluster	162
GeneSelectMMD	172
GeneSelector	53
GENESIS	447
GeneSpring	14
GeneStructureTools	160
geNetClassifier	212
GeneticsBase	17
GeneticsDesign	47
GeneticsPed	190
GeneTonic	302
GeneTraffic	13
GeneTS	7
geneXtendeR	166
GENIE3	1453
genoCN	136
GenoGAM	39
genomation	698
GenomAutomorphism	133
GenomeBase	1
GenomeGraphs	72
GenomeInfoDb	55822
genomeIntervals	209
genomes	171
GenomicAlignments	22429
GenomicDataCommons	969
GenomicDistributions	185
GenomicFeatures	17150
GenomicFiles	1019
genomicInstability	150
GenomicInteractionNodes	121
GenomicInteractions	395
GenomicOZone	136
GenomicPlot	141
GenomicRanges	46064
GenomicScores	606
GenomicSuperSignature	155
GenomicTuples	163
Genominator	69
genoset	62
genotypeeval	44
GenoView	19
genphen	27
GenProSeq	126
GenRank	19
GenVisR	330
GeoDiff	131
GEOexplorer	149
GEOfastq	141
GEOmetadb	310
geomeTriD	91
GeomxTools	396
GEOquery	10210
GEOsearch	16
GEOsubmission	172
GeoTcgaData	205
gep2pep	142
gespeR	90
getDEE2	129
geva	140
GEWIST	137
geyser	72
gff3Plotter	3
gg4way	113
GGBase	72
ggbio	1722
ggcyto	818
ggkegg	531
ggmanh	258
ggmsa	583
GGPA	140
ggsc	163
ggseqalign	87
ggspavis	284
GGtools	91
ggtree	23681
ggtreeDendro	128
ggtreeExtra	1252
ggtreeSpace	101
GIGSEA	157
ginmappeR	102
gINTomics	103
girafe	211
GISPA	46
GLAD	266
GladiaTOX	140
Glimma	1007
glmGamPoi	5257
glmSparseNet	257
GlobalAncova	981
globalSeq	145
globaltest	1666
GloScope	116
gmapR	199
GmicR	149
gmoviz	150
GMRP	134
GNET2	126
GNOSIS	105
goCluster	5
GOexpress	204
GOfuncR	352
GOFunction	56
GoogleGenomics	22
GOpro	180
goProfiles	194
GOSemSim	20214
goseq	1496
GOSim	87
goSorensen	121
goSTAG	181
GOstats	1212
GOsummaries	81
GOTHiC	194
goTools	183
GPA	123
gpart	36
gpls	257
gprege	57
gpuMagic	115
gQTLBase	33
gQTLstats	49
GrafGen	104
gramm4R	11
GRaNIE	143
granulator	197
graper	135
graph	19612
GraphAlignment	151
GraphAT	212
graphite	3437
GraphPAC	94
GRENITS	154
GreyListChIP	1001
GRmetrics	189
groHMM	161
GRridge	52
GSALightning	134
GSAR	196
GSCA	176
gscreend	152
GSEABase	8700
GSEABenchmarkeR	153
GSEAlm	198
GSEAmining	150
gsean	167
GSgalgoR	144
GSReg	158
GSRI	166
GSVA	7259
gtrellis	224
GUIDEseq	184
Guitar	252
Gviz	3159
GWAS.BAYES	138
gwascat	602
GWASTools	677
gwasurvivr	156
GWENA	260
gypsum	3341
h5mread	2658
h5vc	193
hapFabia	195
Harman	228
HarmonizR	126
Harshlight	158
hca	130
HCABrowser	11
HCAExplorer	8
HCAMatrixBrowser	4
HCsnip	45
HDF5Array	15023
HDTD	141
hdxmsqc	99
heatmaps	297
Heatplus	434
HelloRanges	164
HELP	180
HEM	179
hermes	276
HERON	112
Herper	177
hexbin	64
HGC	121
hiAnnotator	178
HIBAG	238
HicAggR	108
HiCBricks	217
HiCcompare	309
HiCDCPlus	159
HiCDOC	138
HiCExperiment	194
HiContacts	188
HiCool	116
HiCParser	48
hicrep	13
hicVennDiagram	124
hierGWAS	144
hierinf	115
HilbertCurve	186
HilbertVis	228
HilbertVisGUI	116
HiLDA	155
hipathia	244
HIPPO	137
hiReadsProcessor	177
HIREewas	132
HiTC	257
hmdbQuery	153
HMMcopy	409
HoloFoodR	95
hoodscanR	158
hopach	331
HPAanalyze	246
hpar	324
HPAStainR	19
HPiP	145
HTqPCR	180
HTSanalyzeR	69
HTSeqGenie	53
htSeqTools	64
HTSFilter	247
HuBMAPR	83
HubPub	179
HumanTranscriptomeCompendium	59
hummingbird	119
HVP	9
HybridExpress	109
HybridMTest	195
hypeR	171
hyperdraw	181
hypergraph	206
iASeq	140
iasva	152
iBBiG	198
ibh	158
iBMQ	139
iCARE	182
Icens	401
icetea	144
iCheck	147
iChip	201
iClusterPlus	441
iCNV	149
iCOBRA	326
ideal	178
IdeoViz	174
idiogram	201
IdMappingAnalysis	62
IdMappingRetrieval	45
idpr	150
idr2d	159
IFAA	109
iFlow	13
igblastr	14
iGC	163
IgGeneUsage	147
igvR	197
igvShiny	129
IHW	715
illuminaio	2645
ILoReg	154
imageHTS	93
imageTCGA	43
IMAS	130
imcRtools	259
Imetagene	45
IMMAN	137
immApex	97
ImmuneSpaceR	56
immunoClust	170
immunogenViewer	75
immunotation	152
IMPCdata	133
ImpulseDE	12
ImpulseDE2	23
impute	10714
INDEED	118
iNETgrate	117
infercnv	1311
infinityFlow	146
Informeasure	120
InPAS	178
INPower	167
inSilicoDb	33
inSilicoMerging	35
INSPEcT	171
INTACT	112
InTAD	149
intansv	175
interacCircos	121
InteractionSet	1666
InteractiveComplexHeatmap	449
interactiveDisplay	200
interactiveDisplayBase	3568
InterCellar	159
IntEREst	153
InterMineR	75
IntOMICS	16
IntramiRExploreR	155
inveRsion	46
IONiseR	183
iontree	32
iPAC	96
iPath	125
ipdDb	187
IPO	220
IPPD	60
IRanges	56480
IRISFGM	34
IrisSpatialFeatures	8
ISAnalytics	122
iSEE	527
iSEEde	130
iSEEfier	105
iSEEhex	149
iSEEhub	191
iSEEindex	116
iSEEpathways	115
iSEEtree	128
iSEEu	187
iSeq	166
ISLET	132
islify	44
iSNetwork	6
isobar	215
IsoBayes	120
IsoCorrectoR	178
IsoCorrectoRGUI	119
IsoformSwitchAnalyzeR	354
IsoGeneGUI	86
ISoLDE	133
isomiRs	178
iSPlot	10
ITALICS	163
iterativeBMA	173
iterativeBMAsurv	150
iterClust	36
iteremoval	23
IVAS	157
ivygapSE	161
IWTomics	173
jazzPanda	50
jmosaics	35
joda	48
JunctionSeq	31
karyoploteR	835
katdetectr	122
KBoost	110
KCsmart	197
kebabs	213
KEGGgraph	5398
KEGGlincs	165
keggorth	8
keggorthology	248
KEGGprofile	57
KEGGREST	37299
KEGGSOAP	27
kimod	20
KinSwingR	132
kissDE	131
kmcut	98
KnowSeq	165
knowYourCG	115
koinar	90
LACE	192
lapmix	110
LBE	250
ldblock	195
LEA	714
LedPred	150
lefser	564
lemur	142
les	168
levi	129
lfa	328
Lheuristic	40
limma	35670
limmaGUI	211
limpa	52
limpca	105
LimROTS	51
LINC	25
LineagePulse	43
lineagespot	119
LinkHD	153
Linnorm	218
LinTInd	122
lionessR	168
lipidr	211
LipidTrend	16
LiquidAssociation	165
lisaClust	214
lmdme	163
LMGene	55
LOBSTAHS	145
loci2path	134
logicFS	185
logitT	73
Logolas	22
lol	34
LOLA	256
LoomExperiment	642
LowMACA	46
LPE	179
LPEadj	93
lpNet	150
lpsymphony	881
LRBaseDbi	132
LRcell	132
lumi	1198
lute	101
LVSmiRNA	45
LymphoSeq	172
M3C	589
M3D	33
M3Drop	514
m6Aboost	113
maanova	105
Maaslin2	952
maaslin3	115
Macarron	125
macat	100
maCorrPlot	176
MACPET	30
MACSQuantifyR	121
MACSr	151
maDB	29
made4	313
MADSEQ	144
maftools	2554
MAGAR	126
MAGeCKFlute	311
magpie	125
magrene	125
MAI	131
maigesPack	107
MAIT	203
makecdfenv	272
makePlatformDesign	11
MANOR	194
manta	60
MantelCorr	149
MAPFX	102
mAPKL	66
maPredictDSC	153
mapscape	134
mariner	118
marr	128
marray	1750
martini	155
maser	197
maSigPro	410
maskBAD	178
MassArray	151
massiR	182
MassSpecWavelet	1635
MAST	2072
mastR	186
matchBox	141
matchprobes	20
MatrixGenerics	43360
MatrixQCvis	207
MatrixRider	149
matter	295
MaxContrastProjection	25
MBAmethyl	133
MBASED	168
MBCB	160
MBECS	128
mbkmeans	384
mbOmic	12
mBPCR	173
MBQN	131
mbQTL	110
MBttest	165
mcaGUI	62
MCbiclust	170
MCRestimate	54
mCSEA	180
mdgsa	48
mdp	170
mdqc	179
MDTS	133
MEAL	181
MeasurementError.cor	158
MEAT	146
MEB	149
MEDIPS	219
MEDME	165
megadepth	198
MEIGOR	177
Melissa	149
memes	266
MergeMaid	63
Mergeomics	169
MeSHDbi	235
meshes	225
meshr	189
MeSHSim	23
MesKit	167
messina	151
metaArray	62
Metab	128
metabCombiner	199
metabinR	120
MetaboAnnotation	283
MetaboCoreUtils	1870
MetaboDynamics	68
metabolomicsWorkbenchR	157
metabomxtr	147
MetaboSignal	198
metaCCA	151
MetaCyto	155
metagene	73
metagene2	167
metagenomeFeatures	45
metagenomeSeq	1633
metahdep	155
metaMS	238
MetaNeighbor	202
MetaPhOR	129
metapod	4837
metapone	140
metaSeq	183
metaseqR	58
metaseqR2	167
metavizr	42
MetaVolcanoR	63
metaX	18
MetCirc	170
MethCP	30
methimpute	160
methInheritSim	139
methodical	92
MethPed	160
MethReg	137
methrix	172
MethTargetedNGS	146
methVisual	47
methyAnalysis	71
MethylAid	192
methylCC	160
methylclock	252
methylGSA	197
methyLImp2	119
methylInheritance	165
methylKit	758
MethylMix	207
methylMnM	193
methylPipe	171
methylscaper	145
MethylSeekR	254
methylSig	151
methylumi	1476
methyvim	16
MetID	152
MetMashR	70
MetNet	169
mfa	157
Mfuzz	1406
MGFM	168
MGFR	160
MGnifyR	138
mgsa	192
mia	1408
miaDash	55
miaSim	141
miaViz	353
MiChip	167
microbiome	1925
microbiomeDASim	135
microbiomeExplorer	146
microbiomeMarker	378
MicrobiomeProfiler	171
MicrobiotaProcess	507
microRNA	285
microSTASIS	125
MICSQTL	116
midasHLA	137
MIGSA	44
miloR	548
mimager	139
MIMOSA	57
mina	113
MineICA	189
minet	663
minfi	2240
MinimumDistance	187
MiPP	171
miQC	192
MIRA	167
MiRaGE	186
miRBaseConverter	257
miRcomp	173
mirIntegrator	171
MIRit	106
miRLAB	154
miRmine	61
miRNAmeConverter	148
miRNApath	155
miRNAtap	210
miRSM	148
miRsponge	10
miRspongeR	140
Mirsynergy	36
mirTarRnaSeq	145
missMethyl	1123
missRows	141
mist	43
mistyR	199
mitch	140
mitoClone2	143
mitology	64
mitoODE	34
mixOmics	3064
MLInterfaces	434
mlm4omics	8
MLP	206
MLSeq	206
MMAPPR2	25
MMDiff	39
MMDiff2	164
mmgmos	3
mmnet	35
MmPalateMiRNA	64
MMUPHin	238
mnem	168
moanin	185
mobileRNA	108
MobilityTransformR	33
MODA	143
ModCon	122
Modstrings	160
MOFA	16
MOFA2	698
MOGAMUN	126
mogsa	289
MoleculeExperiment	139
MOMA	152
monaLisa	222
monocle	3316
Moonlight2R	120
MoonlightR	181
MoPS	35
mosaics	257
mosbi	138
MOSClip	83
mosdef	294
